StoreNumber,ActivityDate,ActivityTime,TrafficIn,TrafficOut,TrafficGroupIn,TrafficGroupOut
10789,03/25/2021,11:30:00,0,0,0,0
10789,03/25/2021,11:45:00,0,0,0,0
10789,03/25/2021,12:00:00,0,0,0,0
10789,03/25/2021,12:15:00,0,0,0,0
10789,03/25/2021,12:30:00,1,0,1,0
10789,03/25/2021,12:45:00,0,1,0,1
10789,03/25/2021,13:00:00,0,0,0,0
10789,03/25/2021,13:15:00,0,0,0,0
10789,03/25/2021,13:30:00,0,0,0,0
10789,03/25/2021,13:45:00,0,0,0,0
10789,03/25/2021,14:00:00,1,1,1,1
10789,03/25/2021,14:15:00,1,0,1,0
10789,03/25/2021,14:30:00,0,0,0,0
10789,03/25/2021,14:45:00,0,0,0,0
10789,03/25/2021,15:00:00,0,1,0,1
10789,03/25/2021,15:15:00,0,0,0,0
10789,03/25/2021,15:30:00,0,0,0,0
10789,03/25/2021,15:45:00,0,0,0,0
10789,03/25/2021,16:00:00,0,0,0,0
10789,03/25/2021,16:15:00,0,0,0,0
10789,03/25/2021,16:30:00,2,0,1,0
10789,03/25/2021,16:45:00,0,0,0,0
10789,03/25/2021,17:00:00,1,1,1,1
10789,03/25/2021,17:15:00,0,0,0,0
10789,03/25/2021,17:30:00,0,0,0,0
10789,03/25/2021,17:45:00,0,2,0,1
10789,03/25/2021,18:00:00,0,0,0,0
10789,03/25/2021,18:15:00,0,0,0,0
10789,04/07/2021,09:30:00,0,0,0,0
10789,04/07/2021,09:45:00,0,0,0,0
10789,04/07/2021,10:00:00,2,0,1,0
10789,04/07/2021,10:15:00,1,2,1,1
10789,04/07/2021,10:30:00,0,1,0,1
10789,04/07/2021,10:45:00,0,0,0,0
10789,04/07/2021,11:00:00,0,0,0,0
10789,04/07/2021,11:15:00,0,0,0,0
10789,04/07/2021,11:30:00,0,0,0,0
10789,04/07/2021,11:45:00,1,0,1,0
10789,04/07/2021,12:00:00,0,1,0,1
10789,04/07/2021,12:15:00,0,0,0,0
10789,04/07/2021,12:30:00,1,0,1,0
10789,04/07/2021,12:45:00,0,0,0,0
10789,04/07/2021,13:00:00,0,0,0,0
10789,04/07/2021,13:15:00,0,0,0,0
10789,04/07/2021,13:30:00,0,1,0,1
10789,04/07/2021,13:45:00,2,1,2,1
10789,04/07/2021,14:00:00,2,1,1,1
10789,04/07/2021,14:15:00,0,0,0,0
10789,04/07/2021,14:30:00,0,0,0,0
10789,04/07/2021,14:45:00,0,0,0,0
10789,04/07/2021,15:00:00,2,2,1,1
10789,04/07/2021,15:15:00,0,0,0,0
10789,04/07/2021,15:30:00,0,0,0,0
10789,04/07/2021,15:45:00,2,0,1,0
10789,04/07/2021,16:00:00,0,2,0,1
10789,04/07/2021,16:15:00,0,0,0,0
10789,04/07/2021,16:30:00,0,2,0,1
10789,04/07/2021,16:45:00,0,0,0,0
10789,04/07/2021,17:00:00,1,0,1,0
10789,04/07/2021,17:15:00,1,1,1,1
10789,04/07/2021,17:30:00,1,1,1,1
10789,04/07/2021,17:45:00,0,1,0,1
10789,04/07/2021,18:00:00,0,0,0,0
10789,04/07/2021,18:15:00,0,0,0,0
10789,04/07/2021,18:30:00,0,0,0,0
10789,04/09/2021,09:30:00,0,0,0,0
10789,04/09/2021,09:45:00,0,0,0,0
10789,04/09/2021,10:00:00,0,0,0,0
10789,04/09/2021,10:15:00,0,0,0,0
10789,04/09/2021,10:30:00,0,0,0,0
10789,04/09/2021,10:45:00,0,0,0,0
10789,04/09/2021,11:00:00,1,1,1,1
10789,04/09/2021,11:15:00,1,0,1,0
10789,04/09/2021,11:30:00,1,2,1,2
10789,04/09/2021,11:45:00,0,0,0,0
10789,04/09/2021,12:00:00,0,0,0,0
10789,04/09/2021,12:15:00,1,0,1,0
10789,04/09/2021,12:30:00,0,0,0,0
10789,04/09/2021,12:45:00,1,1,1,1
10789,04/09/2021,13:00:00,0,0,0,0
10789,04/09/2021,13:15:00,0,0,0,0
10789,04/09/2021,13:30:00,2,0,1,0
10789,04/09/2021,13:45:00,0,3,0,2
10789,04/09/2021,14:00:00,1,1,1,1
10789,04/09/2021,14:15:00,0,0,0,0
10789,04/09/2021,14:30:00,0,0,0,0
10789,04/09/2021,14:45:00,0,0,0,0
10789,04/09/2021,15:00:00,0,0,0,0
10789,04/09/2021,15:15:00,0,0,0,0
10789,04/09/2021,15:30:00,2,0,2,0
10789,04/09/2021,15:45:00,2,1,1,1
10789,04/09/2021,16:00:00,0,0,0,0
10789,04/09/2021,16:15:00,1,0,1,0
10789,04/09/2021,16:30:00,0,1,0,1
10789,04/09/2021,16:45:00,0,2,0,1
10789,04/09/2021,17:00:00,1,2,1,2
10789,04/09/2021,17:15:00,1,0,1,0
10789,04/09/2021,17:30:00,0,0,0,0
10789,04/09/2021,17:45:00,0,1,0,1
10789,04/09/2021,18:00:00,0,0,0,0
10789,04/09/2021,18:15:00,0,0,0,0
10789,04/21/2021,09:30:00,0,0,0,0
10789,04/21/2021,09:45:00,0,0,0,0
10789,04/21/2021,10:00:00,0,0,0,0
10789,04/21/2021,10:15:00,0,0,0,0
10789,04/21/2021,10:30:00,0,0,0,0
10789,04/21/2021,10:45:00,0,0,0,0
10789,04/21/2021,11:00:00,0,0,0,0
10789,04/21/2021,11:15:00,0,0,0,0
10789,04/21/2021,11:30:00,1,0,1,0
10789,04/21/2021,11:45:00,0,0,0,0
10789,04/21/2021,12:00:00,0,1,0,1
10789,04/21/2021,12:15:00,1,0,1,0
10789,04/21/2021,12:30:00,0,0,0,0
10789,04/21/2021,12:45:00,1,0,1,0
10789,04/21/2021,13:00:00,1,2,1,2
10789,04/21/2021,13:15:00,0,1,0,1
10789,04/21/2021,13:30:00,0,0,0,0
10789,04/21/2021,13:45:00,0,0,0,0
10789,04/21/2021,14:00:00,0,0,0,0
10789,04/21/2021,14:15:00,0,0,0,0
10789,04/21/2021,14:30:00,0,0,0,0
10789,04/21/2021,14:45:00,0,0,0,0
10789,04/21/2021,15:00:00,1,1,1,1
10789,04/21/2021,15:15:00,1,0,1,0
10789,04/21/2021,15:30:00,0,0,0,0
10789,04/21/2021,15:45:00,1,1,1,1
10789,04/21/2021,16:00:00,1,1,1,1
10789,04/21/2021,16:15:00,0,1,0,1
10789,04/21/2021,16:30:00,0,0,0,0
10789,04/21/2021,16:45:00,0,0,0,0
10789,04/21/2021,17:00:00,0,0,0,0
10789,04/21/2021,17:15:00,1,0,1,0
10789,04/21/2021,17:30:00,0,1,0,1
10789,04/21/2021,17:45:00,2,0,1,0
10789,04/21/2021,18:00:00,0,2,0,1
10789,04/21/2021,18:15:00,0,0,0,0
10789,04/26/2021,09:45:00,0,0,0,0
10789,04/26/2021,10:00:00,0,0,0,0
10789,04/26/2021,10:15:00,0,0,0,0
10789,04/26/2021,10:30:00,2,1,2,1
10789,04/26/2021,10:45:00,1,2,1,2
10789,04/26/2021,11:00:00,0,0,0,0
10789,04/26/2021,11:15:00,0,0,0,0
10789,04/26/2021,11:30:00,1,1,1,1
10789,04/26/2021,11:45:00,1,1,1,1
10789,04/26/2021,12:00:00,0,0,0,0
10789,04/26/2021,12:15:00,0,0,0,0
10789,04/26/2021,12:30:00,0,0,0,0
10789,04/26/2021,12:45:00,0,0,0,0
10789,04/26/2021,13:00:00,0,0,0,0
10789,04/26/2021,13:15:00,0,0,0,0
10789,04/26/2021,13:30:00,1,0,1,0
10789,04/26/2021,13:45:00,0,0,0,0
10789,04/26/2021,14:00:00,1,0,1,0
10789,04/26/2021,14:15:00,0,1,0,1
10789,04/26/2021,14:30:00,1,0,1,0
10789,04/26/2021,14:45:00,0,1,0,1
10789,04/26/2021,15:00:00,0,0,0,0
10789,04/26/2021,15:15:00,0,1,0,1
10789,04/26/2021,15:30:00,1,0,1,0
10789,04/26/2021,15:45:00,0,0,0,0
10789,04/26/2021,16:00:00,0,0,0,0
10789,04/26/2021,16:15:00,1,1,1,1
10789,04/26/2021,16:30:00,0,1,0,1
10789,04/26/2021,16:45:00,0,0,0,0
10789,04/26/2021,17:00:00,1,0,1,0
10789,04/26/2021,17:15:00,0,1,0,1
10789,04/26/2021,17:30:00,1,0,1,0
10789,04/26/2021,17:45:00,0,1,0,1
10789,04/26/2021,18:00:00,0,0,0,0
10789,04/29/2021,09:00:00,0,0,0,0
10789,04/29/2021,09:15:00,0,0,0,0
10789,04/29/2021,09:30:00,0,0,0,0
10789,04/29/2021,09:45:00,0,0,0,0
10789,04/29/2021,10:00:00,0,0,0,0
10789,04/29/2021,10:15:00,0,0,0,0
10789,04/29/2021,10:30:00,0,0,0,0
10789,04/29/2021,10:45:00,0,0,0,0
10789,04/29/2021,11:00:00,0,0,0,0
10789,04/29/2021,11:15:00,0,0,0,0
10789,04/29/2021,11:30:00,0,0,0,0
10789,04/29/2021,11:45:00,0,0,0,0
10789,04/29/2021,12:00:00,1,1,1,1
10789,04/29/2021,12:15:00,0,0,0,0
10789,04/29/2021,12:30:00,0,0,0,0
10789,04/29/2021,12:45:00,2,2,1,1
10789,04/29/2021,13:00:00,0,0,0,0
10789,04/29/2021,13:15:00,0,0,0,0
10789,04/29/2021,13:30:00,0,0,0,0
10789,04/29/2021,13:45:00,0,0,0,0
10789,04/29/2021,14:00:00,0,0,0,0
10789,04/29/2021,14:15:00,0,0,0,0
10789,04/29/2021,14:30:00,0,0,0,0
10789,04/29/2021,14:45:00,0,0,0,0
10789,04/29/2021,15:00:00,2,0,1,0
10789,04/29/2021,15:15:00,0,0,0,0
10789,04/29/2021,15:30:00,0,0,0,0
10789,04/29/2021,15:45:00,0,2,0,1
10789,04/29/2021,16:00:00,0,0,0,0
10789,04/29/2021,16:15:00,1,0,1,0
10789,04/29/2021,16:30:00,0,1,0,1
10789,04/29/2021,16:45:00,1,0,1,0
10789,04/29/2021,17:00:00,2,0,1,0
10789,04/29/2021,17:15:00,0,0,0,0
10789,04/29/2021,17:30:00,0,1,0,1
10789,04/29/2021,17:45:00,1,0,1,0
10789,04/29/2021,18:00:00,0,3,0,2
14703,05/02/2021,10:45:00,0,0,0,0
14703,05/02/2021,11:00:00,1,0,1,0
14703,05/02/2021,11:15:00,4,2,3,2
14703,05/02/2021,11:30:00,2,0,2,0
14703,05/02/2021,11:45:00,0,4,0,3
14703,05/02/2021,12:00:00,1,2,1,2
14703,05/02/2021,12:15:00,7,1,3,1
14703,05/02/2021,12:30:00,2,2,2,2
14703,05/02/2021,12:45:00,0,0,0,0
14703,05/02/2021,13:00:00,0,2,0,1
14703,05/02/2021,13:15:00,2,0,1,0
14703,05/02/2021,13:30:00,0,0,0,0
14703,05/02/2021,13:45:00,0,0,0,0
14703,05/02/2021,14:00:00,0,4,0,1
14703,05/02/2021,14:15:00,0,0,0,0
14703,05/02/2021,14:30:00,0,2,0,1
14703,05/02/2021,14:45:00,1,0,1,0
14703,05/02/2021,15:00:00,0,1,0,1
14703,05/02/2021,15:15:00,1,0,1,0
14703,05/02/2021,15:30:00,0,1,0,1
14703,05/02/2021,15:45:00,2,0,1,0
14703,05/02/2021,16:00:00,0,2,0,1
14703,05/02/2021,16:15:00,0,0,0,0
14703,05/02/2021,16:30:00,0,0,0,0
14703,05/02/2021,16:45:00,0,0,0,0
14703,05/02/2021,17:00:00,6,0,1,0
14703,05/02/2021,17:15:00,0,0,0,0
14703,05/02/2021,17:30:00,0,0,0,0
14703,05/02/2021,17:45:00,0,0,0,0
14703,05/02/2021,18:00:00,0,0,0,0
14703,05/02/2021,18:15:00,0,6,0,1
14703,05/02/2021,18:30:00,0,0,0,0
14918,05/08/2021,08:45:00,0,0,0,0
14918,05/08/2021,09:00:00,1,0,1,0
14918,05/08/2021,09:15:00,3,0,2,0
14918,05/08/2021,09:30:00,2,1,1,1
14918,05/08/2021,09:45:00,4,3,4,2
14918,05/08/2021,10:00:00,3,4,3,3
14918,05/08/2021,10:15:00,0,2,0,2
14918,05/08/2021,10:30:00,5,4,4,3
14918,05/08/2021,10:45:00,3,1,1,1
14918,05/08/2021,11:00:00,2,1,2,1
14918,05/08/2021,11:15:00,0,6,0,4
14918,05/08/2021,11:30:00,1,0,1,0
14918,05/08/2021,11:45:00,1,3,1,3
14918,05/08/2021,12:00:00,0,0,0,0
14918,05/08/2021,12:15:00,1,1,1,1
14918,05/08/2021,12:30:00,1,1,1,1
14918,05/08/2021,12:45:00,0,0,0,0
14918,05/08/2021,13:00:00,1,0,1,0
14918,05/08/2021,13:15:00,0,0,0,0
14918,05/08/2021,13:30:00,6,2,3,2
14918,05/08/2021,13:45:00,3,3,3,3
14918,05/08/2021,14:00:00,5,3,4,3
14918,05/08/2021,14:15:00,0,0,0,0
14918,05/08/2021,14:30:00,3,5,2,2
14918,05/08/2021,14:45:00,5,4,4,3
14918,05/08/2021,15:00:00,0,3,0,2
14918,05/08/2021,15:15:00,4,0,2,0
14918,05/08/2021,15:30:00,3,5,3,3
14918,05/08/2021,15:45:00,0,3,0,2
14918,05/08/2021,16:00:00,1,0,1,0
14918,05/08/2021,16:15:00,5,2,2,2
14918,05/08/2021,16:30:00,0,1,0,1
14918,05/08/2021,16:45:00,1,5,1,2
14918,05/08/2021,17:00:00,0,0,0,0
14918,05/08/2021,17:15:00,4,1,2,1
14918,05/08/2021,17:30:00,5,4,2,2
14918,05/08/2021,17:45:00,2,1,1,1
14918,05/08/2021,18:00:00,0,0,0,0
14918,05/08/2021,18:15:00,1,2,1,1
14918,05/08/2021,18:30:00,0,1,0,1
14918,05/08/2021,18:45:00,0,0,0,0
14918,05/08/2021,19:00:00,0,4,0,1
14919,05/10/2021,08:00:00,0,0,0,0
14919,05/10/2021,08:15:00,0,0,0,0
14919,05/10/2021,08:30:00,0,0,0,0
14919,05/10/2021,08:45:00,0,0,0,0
14919,05/10/2021,09:00:00,1,0,1,0
14919,05/10/2021,09:15:00,0,0,0,0
14919,05/10/2021,09:30:00,4,1,3,1
14919,05/10/2021,09:45:00,0,1,0,1
14919,05/10/2021,10:00:00,0,2,0,1
14919,05/10/2021,10:15:00,3,0,3,0
14919,05/10/2021,10:30:00,2,1,2,1
14919,05/10/2021,10:45:00,1,4,1,4
14919,05/10/2021,11:00:00,0,1,0,1
14919,05/10/2021,11:15:00,0,0,0,0
14919,05/10/2021,11:30:00,2,2,2,2
14919,05/10/2021,11:45:00,1,0,1,0
14919,05/10/2021,12:00:00,0,2,0,2
14919,05/10/2021,12:15:00,1,1,1,1
14919,05/10/2021,12:30:00,2,0,1,0
14919,05/10/2021,12:45:00,0,0,0,0
14919,05/10/2021,13:00:00,0,0,0,0
14919,05/10/2021,13:15:00,1,1,1,1
14919,05/10/2021,13:30:00,2,3,2,2
14919,05/10/2021,13:45:00,0,1,0,1
14919,05/10/2021,14:00:00,1,0,1,0
14919,05/10/2021,14:15:00,0,1,0,1
14919,05/10/2021,14:30:00,2,0,2,0
14919,05/10/2021,14:45:00,2,2,2,2
14919,05/10/2021,15:00:00,1,0,1,0
14919,05/10/2021,15:15:00,0,3,0,3
14919,05/10/2021,15:30:00,2,2,2,2
14919,05/10/2021,15:45:00,5,1,3,1
14919,05/10/2021,16:00:00,2,1,2,1
14919,05/10/2021,16:15:00,1,4,1,2
14919,05/10/2021,16:30:00,0,2,0,2
14919,05/10/2021,16:45:00,2,1,2,1
14919,05/10/2021,17:00:00,1,0,1,0
14919,05/10/2021,17:15:00,2,2,2,2
14919,05/10/2021,17:30:00,3,0,3,0
14919,05/10/2021,17:45:00,2,4,1,4
14919,05/10/2021,18:00:00,0,0,0,0
14919,05/10/2021,18:15:00,0,0,0,0
14919,05/10/2021,18:30:00,1,0,1,0
14919,05/10/2021,18:45:00,0,1,0,1
14919,05/10/2021,19:00:00,0,3,0,2
14919,05/10/2021,19:15:00,0,0,0,0
14919,05/10/2021,19:30:00,0,0,0,0
14919,05/10/2021,19:45:00,0,0,0,0
14703,05/19/2021,09:30:00,0,0,0,0
14703,05/19/2021,09:45:00,0,0,0,0
14703,05/19/2021,10:00:00,2,0,2,0
14703,05/19/2021,10:15:00,0,2,0,2
14703,05/19/2021,10:30:00,0,0,0,0
14703,05/19/2021,10:45:00,0,0,0,0
14703,05/19/2021,11:00:00,0,0,0,0
14703,05/19/2021,11:15:00,1,1,1,1
14703,05/19/2021,11:30:00,2,0,1,0
14703,05/19/2021,11:45:00,1,0,1,0
14703,05/19/2021,12:00:00,0,3,0,2
14703,05/19/2021,12:15:00,0,0,0,0
14703,05/19/2021,12:30:00,0,0,0,0
14703,05/19/2021,12:45:00,1,1,1,1
14703,05/19/2021,13:00:00,1,1,1,1
14703,05/19/2021,13:15:00,3,1,3,1
14703,05/19/2021,13:30:00,0,2,0,2
14703,05/19/2021,13:45:00,0,0,0,0
14703,05/19/2021,14:00:00,1,1,1,1
14703,05/19/2021,14:15:00,0,0,0,0
14703,05/19/2021,14:30:00,0,0,0,0
14703,05/19/2021,14:45:00,1,1,1,1
14703,05/19/2021,15:00:00,0,0,0,0
14703,05/19/2021,15:15:00,0,0,0,0
14703,05/19/2021,15:30:00,4,0,2,0
14703,05/19/2021,15:45:00,0,0,0,0
14703,05/19/2021,16:00:00,3,2,2,1
14703,05/19/2021,16:15:00,0,3,0,2
14703,05/19/2021,16:30:00,2,0,1,0
14703,05/19/2021,16:45:00,0,2,0,1
14703,05/19/2021,17:00:00,0,0,0,0
14703,05/19/2021,17:15:00,1,1,1,1
14703,05/19/2021,17:30:00,0,0,0,0
14703,05/19/2021,17:45:00,0,0,0,0
14703,05/19/2021,18:00:00,0,0,0,0
14703,05/19/2021,18:15:00,2,0,1,0
14703,05/19/2021,18:30:00,0,0,0,0
14703,05/19/2021,18:45:00,0,2,0,1
14703,05/19/2021,19:00:00,0,2,0,1
14703,05/19/2021,19:15:00,0,0,0,0
14703,05/19/2021,19:30:00,0,0,0,0
14703,05/19/2021,19:45:00,0,0,0,0
14703,05/19/2021,20:00:00,0,0,0,0
14919,05/25/2021,08:00:00,0,0,0,0
14919,05/25/2021,08:15:00,0,0,0,0
14919,05/25/2021,08:30:00,0,0,0,0
14919,05/25/2021,08:45:00,0,0,0,0
14919,05/25/2021,09:00:00,1,0,1,0
14919,05/25/2021,09:15:00,0,0,0,0
14919,05/25/2021,09:30:00,3,1,3,1
14919,05/25/2021,09:45:00,1,0,1,0
14919,05/25/2021,10:00:00,0,2,0,2
14919,05/25/2021,10:15:00,2,2,2,2
14919,05/25/2021,10:30:00,1,1,1,1
14919,05/25/2021,10:45:00,0,0,0,0
14919,05/25/2021,11:00:00,2,1,2,1
14919,05/25/2021,11:15:00,0,1,0,1
14919,05/25/2021,11:30:00,2,1,2,1
14919,05/25/2021,11:45:00,3,4,3,4
14919,05/25/2021,12:00:00,3,1,3,1
14919,05/25/2021,12:15:00,2,0,1,0
14919,05/25/2021,12:30:00,1,2,1,2
14919,05/25/2021,12:45:00,2,5,2,4
14919,05/25/2021,13:00:00,1,2,1,2
14919,05/25/2021,13:15:00,0,0,0,0
14919,05/25/2021,13:30:00,0,1,0,1
14919,05/25/2021,13:45:00,1,1,1,1
14919,05/25/2021,14:00:00,4,1,3,1
14919,05/25/2021,14:15:00,4,2,3,2
14919,05/25/2021,14:30:00,2,4,2,3
14919,05/25/2021,14:45:00,2,0,2,0
14919,05/25/2021,15:00:00,2,2,2,2
14919,05/25/2021,15:15:00,1,2,1,2
14919,05/25/2021,15:30:00,0,2,0,1
14919,05/25/2021,15:45:00,1,1,1,1
14919,05/25/2021,16:00:00,2,0,2,0
14919,05/25/2021,16:15:00,0,2,0,2
14919,05/25/2021,16:30:00,3,1,2,1
14919,05/25/2021,16:45:00,0,1,0,1
14919,05/25/2021,17:00:00,2,2,2,1
14919,05/25/2021,17:15:00,2,2,1,2
14919,05/25/2021,17:30:00,1,2,1,2
14919,05/25/2021,17:45:00,0,0,0,0
14919,05/25/2021,18:00:00,1,0,1,0
14919,05/25/2021,18:15:00,0,3,0,2
14919,05/25/2021,18:30:00,0,0,0,0
14919,05/25/2021,18:45:00,0,0,0,0
14919,05/25/2021,19:00:00,0,0,0,0
14919,05/25/2021,19:15:00,0,0,0,0
14918,05/27/2021,08:00:00,0,0,0,0
14918,05/27/2021,08:15:00,0,0,0,0
14918,05/27/2021,08:30:00,0,0,0,0
14918,05/27/2021,08:45:00,0,0,0,0
