StoreNumber,ActivityDate,ActivityTime,TrafficIn,TrafficOut,TrafficGroupIn,TrafficGroupOut
14918,05/27/2021,09:00:00,3,1,3,1
14918,05/27/2021,09:15:00,0,0,0,0
14918,05/27/2021,09:30:00,1,2,1,2
14918,05/27/2021,09:45:00,2,1,2,1
14918,05/27/2021,10:00:00,3,1,3,1
14918,05/27/2021,10:15:00,0,1,0,1
14918,05/27/2021,10:30:00,2,2,2,2
14918,05/27/2021,10:45:00,1,0,1,0
14918,05/27/2021,11:00:00,1,1,1,1
14918,05/27/2021,11:15:00,0,1,0,1
14918,05/27/2021,11:30:00,1,1,1,1
14918,05/27/2021,11:45:00,0,1,0,1
14918,05/27/2021,12:00:00,2,1,1,1
14918,05/27/2021,12:15:00,1,1,1,1
14918,05/27/2021,12:30:00,1,0,1,0
14918,05/27/2021,12:45:00,1,4,1,3
14918,05/27/2021,13:00:00,1,1,1,1
14918,05/27/2021,13:15:00,6,4,3,2
14918,05/27/2021,13:30:00,4,3,2,2
14918,05/27/2021,13:45:00,1,3,1,2
14918,05/27/2021,14:00:00,1,3,1,2
14918,05/27/2021,14:15:00,4,0,3,0
14918,05/27/2021,14:30:00,2,1,1,1
14918,05/27/2021,14:45:00,1,1,1,1
14918,05/27/2021,15:00:00,0,1,0,1
14918,05/27/2021,15:15:00,4,3,3,2
14918,05/27/2021,15:30:00,2,1,1,1
14918,05/27/2021,15:45:00,3,4,1,2
14918,05/27/2021,16:00:00,4,2,4,2
14918,05/27/2021,16:15:00,4,3,3,1
